Method,Doc_ID,Float32_Score,Int4_Score,Difference,Percentage_Difference,Int4Global_Score,Int8_Score,Int8Global_Score,Int16_Score,Int16Global_Score
Int4,548,0.7259228229522705,0.7323287725448608,0.0064059495925903,0.8824560118578231,,,,,
Int4,510,0.713803231716156,0.7163440585136414,0.0025408267974853,0.3559561913689558,,,,,
Int4,851,0.7133652567863464,0.7127597332000732,0.0006055235862731,0.0848826853442553,,,,,
Int4,659,0.7063435316085815,0.7045454978942871,0.0017980337142944,0.2545551327127902,,,,,
Int4,327,0.7060055136680603,0.7037003636360168,0.0023051500320434,0.3265059531995751,,,,,
Int4,636,0.6988374590873718,0.7008416056632996,0.0020041465759277,0.2867829349824773,,,,,
Int4,871,0.6964238882064819,0.6990072727203369,0.0025833845138549,0.3709500144384817,,,,,
Int4,904,0.6940217614173889,0.6937218904495239,0.0002998709678649,0.0432077183361756,,,,,
Int4,242,0.6900055408477783,0.6881698966026306,0.0018356442451477,0.2660332615434265,,,,,
Int4,121,0.6894209384918213,0.6865140795707703,0.002906858921051,0.4216377482543649,,,,,
Int4,463,0.6834071278572083,0.6840466856956482,0.0006395578384399,0.0935837237234041,,,,,
Int4,695,0.6740765571594238,0.6815491318702698,0.0074725747108459,1.1085646921672476,,,,,
Int4,240,0.6729530096054077,0.678542971611023,0.0055899620056152,0.8306615656408106,,,,,
Int4,260,0.6728200912475586,0.6769233345985413,0.0041032433509826,0.6098574350498864,,,,,
Int4,37,0.6721497774124146,0.6750541925430298,0.0029044151306152,0.4321083229092787,,,,,
Int4,703,0.6716387867927551,0.6730859279632568,0.0014471411705017,0.2154642047122045,,,,,
Int4,961,0.6710647344589233,0.67231684923172,0.0012521147727966,0.1865862872091178,,,,,
Int4,499,0.6675130128860474,0.6722730398178101,0.0047600269317626,0.7130987471213973,,,,,
Int4,643,0.6661125421524048,0.6681203246116638,0.002007782459259,0.3014179034628743,,,,,
Int4,25,0.6657393574714661,0.6669413447380066,0.0012019872665405,0.1805492274192374,,,,,
Int4,554,0.6638940572738647,0.6663244366645813,0.0024303793907165,0.3660794013876811,,,,,
Int4,590,0.6638113260269165,0.663647472858429,0.0001638531684875,0.0246836958128227,,,,,
Int4,954,0.663692831993103,0.6634200811386108,0.0002727508544921,0.0410959470020345,,,,,
Int4,21,0.6604061722755432,0.6599681973457336,0.0004379749298095,0.0663190242908318,,,,,
Int4,2,0.6595078706741333,0.6592979431152344,0.0002099275588989,0.0318309406503887,,,,,
Int4,273,0.6593335866928101,0.6592682600021362,6.532669067382812e-05,0.0099079877003542,,,,,
Int4,787,0.6584364175796509,0.6567021608352661,0.0017342567443847,0.2633901616134367,,,,,
Int4,287,0.6560670137405396,0.6554491519927979,0.0006178617477416,0.094176621412344,,,,,
Int4,919,0.6548237204551697,0.6549787521362305,0.0001550316810607,0.0236753306604452,,,,,
Int4,177,0.65353924036026,0.6525914669036865,0.0009477734565734,0.1450216602221209,,,,,
Int4,52,0.6516637802124023,0.652492880821228,0.0008291006088256,0.1272282784468162,,,,,
Int4,162,0.651603102684021,0.6523966789245605,0.0007935762405395,0.1217882845048968,,,,,
Int4,718,0.6507222652435303,0.6511834859848022,0.0004612207412719,0.0708782787844769,,,,,
Int4,952,0.6501399874687195,0.6497642993927002,0.0003756880760192,0.0577857205002888,,,,,
Int4,946,0.648655891418457,0.6473588943481445,0.0012969970703125,0.1999514823608977,,,,,
Int4,430,0.6446096897125244,0.6464060544967651,0.0017963647842407,0.2786748032040667,,,,,
Int4,998,0.6445702910423279,0.6452810764312744,0.0007107853889465,0.1102727505168023,,,,,
Int4,387,0.6435744166374207,0.6446499824523926,0.0010755658149719,0.1671237680005357,,,,,
Int4,214,0.6435669660568237,0.64460688829422,0.0010399222373962,0.1615872616594836,,,,,
Int4,687,0.6434923410415649,0.6443153619766235,0.0008230209350585,0.1278991034650764,,,,,
Int4,764,0.6428899765014648,0.644262969493866,0.0013729929924011,0.2135657799290629,,,,,
Int4,304,0.6423382759094238,0.6442072987556458,0.0018690228462219,0.2909717381508609,,,,,
Int4,381,0.6422994136810303,0.6430565118789673,0.000757098197937,0.1178730949788771,,,,,
Int4,879,0.6396118998527527,0.642543613910675,0.0029317140579223,0.4583582729772982,,,,,
Int4,212,0.638925313949585,0.6405329704284668,0.0016076564788818,0.2516188424189888,,,,,
Int4,300,0.6386348009109497,0.6402995586395264,0.0016647577285766,0.2606744458964727,,,,,
Int4,375,0.638620913028717,0.6401278376579285,0.0015069246292114,0.2359654371581256,,,,,
Int4,279,0.6375983953475952,0.6399706602096558,0.0023722648620605,0.3720625521284876,,,,,
Int4,581,0.6375042200088501,0.6398272514343262,0.002323031425476,0.3643946741942861,,,,,
Int4,322,0.6371906995773315,0.6394996047019958,0.0023089051246643,0.3623570033580018,,,,,
Int4Global,548,0.7259228229522705,,0.0043928027153015,0.605133572937731,0.730315625667572,,,,
Int4Global,510,0.713803231716156,,0.0024039149284362,0.3367755736628826,0.7113993167877197,,,,
Int4Global,851,0.7133652567863464,,0.0054129958152771,0.7587972309812527,0.7079522609710693,,,,
Int4Global,659,0.7063435316085815,,0.0010809898376464,0.1530402402333475,0.707424521446228,,,,
Int4Global,327,0.7060055136680603,,0.0011535286903381,0.1633880568927801,0.7071590423583984,,,,
Int4Global,636,0.6988374590873718,,0.0034213662147521,0.4895796826947771,0.702258825302124,,,,
Int4Global,871,0.6964238882064819,,0.0035812258720397,0.5142307627130105,0.7000051140785217,,,,
Int4Global,904,0.6940217614173889,,0.0028113722801208,0.4050841683089636,0.6912103891372681,,,,
